PuntoNumer,PuntoTipo,Y_WGS,X_WGS,heatmap_co,ID
1,Punto Verde,-32.86880964,-68.87616103,0.3826,PV1
1,Rulero,-32.86229453,-68.83420769,4.22958,R1
2,Punto Verde,-32.86623453,-68.86802769,5.83923,PV2
2,Rulero,-32.86560453,-68.86138769,0.24251,R2
3,Punto Verde,-32.86607453,-68.85375769,4.7912,PV3
3,Rulero,-32.86587453,-68.84178769,10.64682,R3
4,Punto Verde,-32.86291453,-68.83331769,11.6936,PV4
4,Rulero,-32.87063453,-68.82119769,9.11391,R4
5,Punto Verde,-32.87104791,-68.82579992,16.30629,PV5
5,Rulero,-32.87227453,-68.88334768,1.60935,R5
6,Punto Verde,-32.86902453,-68.86788769,2.54348,PV6
6,Rulero,-32.87272453,-68.86720769,0.9276,R6
7,Punto Verde,-32.87071453,-68.84755769,17.00278,PV7
7,Rulero,-32.86779453,-68.86220769,2.41955,R7
8,Punto Verde,-32.86912453,-68.83766769,16.47717,PV8
8,Rulero,-32.86587453,-68.84178769,10.64682,R8
9,Punto Verde,-32.87425453,-68.82782769,24.55286,PV9
37,Punto Verde,-32.87285453,-68.86755769,0.83472,PV37
9,Rulero,-32.86889453,-68.83784769,15.44398,R9
10,Punto Verde,-32.87421453,-68.85938769,1.68052,PV10
11,Punto Verde,-32.87346453,-68.85206769,7.07582,PV11
11,Rulero,-32.87085453,-68.83158769,13.04669,R11
12,Punto Verde,-32.87688453,-68.84285769,4.63907,PV12
12,Rulero,-32.87434453,-68.84196769,4.43152,R12
13,Punto Verde,-32.87687453,-68.84285769,4.60507,PV13
13,Rulero,-32.87394453,-68.84310769,6.14961,R13
14,Punto Verde,-32.87758453,-68.83988769,2.24065,PV14
14,Rulero,-32.87741453,-68.84216769,5.89518,R14
15,Punto Verde,-32.88752453,-68.90317768,2.78512,PV15
16,Punto Verde,-32.87730453,-68.87299769,3.27145,PV16
16,Rulero,-32.88165453,-68.84319769,38.99144,R16
23,Punto Verde,-32.88535386,-68.85548441,24.74849,PV23
17,Rulero,-32.87893453,-68.83528769,55.4139,R17
18,Punto Verde,-32.88335453,-68.84284769,79.2797,PV18
18,Rulero,-32.88201453,-68.83988769,58.10106,R18
19,Punto Verde,-32.88222453,-68.83863769,75.21066,PV19
19,Rulero,-32.88392453,-68.84481769,70.32828,R19
19,Rulero,-32.88390453,-68.85364769,38.61502,R19
20,Punto Verde,-32.89106453,-68.86035769,36.31241,PV20
20,Rulero,-32.88547453,-68.85505769,25.77597,R20
21,Punto Verde,-32.89123453,-68.85894769,54.75459,PV21
22,Punto Verde,-32.89252453,-68.85468769,64.25787,PV22
22,Rulero,-32.88642453,-68.85071769,27.38246,R22
22,Rulero,-32.88525453,-68.86720769,,R22
23,Rulero,-32.88738453,-68.82991769,17.58533,R23
24,Punto Verde,-32.88940453,-68.84704769,42.29691,PV24
24,Rulero,-32.88775453,-68.84364769,72.15413,R24
25,Punto Verde,-32.88808741,-68.84158856,152.64735,PV25
25,Rulero,-32.88161453,-68.85735769,13.14369,R25
26,Rulero,-32.88775453,-68.84364769,72.15413,R26
27,Punto Verde,-32.88675453,-68.84198769,136.13925,PV27
27,Rulero,-32.89023822,-68.85432183,19.84667,R27
28,Punto Verde,-32.88835459,-68.83908107,298.52594,PV28
28,Rulero,-32.89025467,-68.85433162,20.03069,R28
29,Punto Verde,-32.88984453,-68.84322769,115.67663,PV29
30,Rulero,-32.89844453,-68.85395769,17.83624,R30
31,Punto Verde,-32.89730453,-68.85312769,16.38767,PV31
31,Rulero,-32.89606584,-68.85018649,21.46376,R31
32,Punto Verde,-32.89826453,-68.84134769,34.12289,PV32
32,Rulero,-32.89631453,-68.84583769,74.88261,R32
33,Punto Verde,-32.89874453,-68.83902769,47.57463,PV33
33,Rulero,-32.89654453,-68.84128769,63.00045,R33
34,Punto Verde,-32.90130453,-68.84889769,8.30359,PV34
35,Rulero,-32.86229453,-68.83420769,4.22958,R35
35,Punto Verde,-32.90113453,-68.85284769,16.08785,PV35
36,Punto Verde,-32.90225453,-68.85417769,19.97105,PV36
36,Rulero,-32.90272453,-68.84566769,27.24571,R36
37,Rulero,-32.89216453,-68.85031769,70.82407,R37
38,Rulero,-32.90216453,-68.85427769,20.77489,R38
38,Punto Verde,-32.86887083,-68.85606,28.21699,PV38
39,Rulero,-32.88547453,-68.85505769,25.77597,R39
40,Rulero,-32.90142453,-68.84836769,9.73597,R40
41,Rulero,-32.89304453,-68.83230769,36.68773,R41
43,Rulero,-32.89678063,-68.85914346,18.8675,R43
42,Rulero,-32.88440453,-68.82912769,4.84401,R42
55,Punto Verde,-32.87164692,-68.84320796,13.36226,PV55
47,Punto Verde,-32.86680913,-68.88232406,7.96989,PV47
45,Punto Verde,-32.88761714,-68.8565563,,PV45
46,Punto Verde,-32.88911465,-68.85318661,17.40975,PV46
30,Punto Verde,-32.89621073,-68.85912616,19.05399,PV30
39,Punto Verde,-32.89814944,-68.84473975,3.82613,PV39
50,Punto Verde,-32.87096708,-68.83129638,12.55573,PV50
52,Punto Verde,-32.87746604,-68.85500544,33.46423,PV52
53,Punto Verde,-32.86981183,-68.85903485,4.97157,PV53
54,Plaza de los Constituyentes,-32.86472345,-68.84954453,6.68478,PV54
56,Plaza de los Constituyentes,-32.86592962,-68.8419259,10.5838,PV56
